q,reach,inund_lower,inund_upper,wua_lower,wua_upper
0,Angostura,0,0,0,0
5,Angostura,17.215198563969047,19.623542404524304,6.369623468668547,7.849416961809721
50,Angostura,17.215198563969047,19.623542404524304,6.369623468668547,7.849416961809721
100,Angostura,17.215198563969047,19.623542404524304,6.369623468668547,7.849416961809721
150,Angostura,86.21985660101235,98.28170182498818,31.901346942374573,39.31268072999527
200,Angostura,86.21985660101235,98.28170182498818,31.901346942374573,39.31268072999527
1000,Angostura,139.91639455587304,159.49019068545113,51.76906598567302,63.79607627418045
1500,Angostura,141.14428455228133,160.8898580388699,52.2233852843441,64.35594321554797
2000,Angostura,193,220,71.41,88
3000,Angostura,321,370,93.09,118.4
4000,Angostura,398,433,79.6,90.93
5000,Angostura,646,1217,148.58,486.8
6000,Angostura,970,1430,242.5,443.3
7000,Angostura,1224,1915,269.28,574.5
0,Isleta,0,0,0,0
5,Isleta,42.832554187376616,54.90354673109184,12.42144071433922,18.11817042126031
50,Isleta,42.832554187376616,54.90354673109184,12.42144071433922,18.11817042126031
100,Isleta,42.832554187376616,54.90354673109184,12.42144071433922,18.11817042126031
150,Isleta,206.4434795026124,264.62300554425775,59.8686090557576,87.32559182960505
200,Isleta,206.4434795026124,264.62300554425775,59.8686090557576,87.32559182960505
1000,Isleta,323.91643352955987,415.20197388789035,93.93576572357236,137.01665138300382
1500,Isleta,322.8833752895953,413.87778105302664,93.63617883398263,136.57966774749877
2000,Isleta,440,564,127.6,186.12
3000,Isleta,759,999,182.16,289.71
4000,Isleta,1168,2089,292,668.48
5000,Isleta,1813,3333,435.12,966.57
6000,Isleta,2384,4704,476.8,1176
7000,Isleta,4004,5594,600.6,1062.86
0,San Acacia,0,0,0,0
5,San Acacia,25.92308240898068,91.15230196653775,9.332309667233044,44.6646279636035
50,San Acacia,25.92308240898068,91.15230196653775,9.332309667233044,44.6646279636035
100,San Acacia,25.92308240898068,91.15230196653775,9.332309667233044,44.6646279636035
150,San Acacia,116.58254734553802,409.93456688573326,41.96971704439368,200.8679377740093
200,San Acacia,116.58254734553802,409.93456688573326,41.96971704439368,200.8679377740093
1000,San Acacia,181.67621475240585,638.8208364261425,65.40343731086611,313.02220984880984
1500,San Acacia,181.10378044153674,636.8080084631272,65.19736095895323,312.03592414693236
2000,San Acacia,246,865,88.56,423.85
3000,San Acacia,474,2922,161.16,1019.778
4000,San Acacia,699,4444,202.71,1377.64
5000,San Acacia,3310,5329,496.5,1273.631
6000,San Acacia,4224,6140,489.984,1197.3
7000,San Acacia,6284,6805,766.648,952.7
